Index,Cosine Similarity
1,1.0
2,1.0
3,0.9999998807907104
4,0.9999998807907104
5,0.9999998807907104
6,1.0
7,1.0
8,0.9999999403953552
9,1.0
10,1.0
11,0.9999998807907104
12,1.0000001192092896
13,1.0
14,1.0000001192092896
15,1.0
16,1.0000001192092896
17,1.0
18,0.9999999403953552
19,0.9999999403953552
20,1.0
21,1.0000001192092896
22,1.0000001192092896
23,1.0
24,1.0
25,1.0000001192092896
26,1.0000001192092896
27,1.0
28,1.0000001192092896
29,1.0
30,1.0
31,0.9999998807907104
32,1.0
33,1.0
34,1.0000001192092896
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0000001192092896
42,0.9999998807907104
43,1.0
44,0.9999999403953552
45,0.9999998807907104
46,0.9999999403953552
47,1.0000001192092896
48,1.0
49,1.0
50,0.9999999403953552
51,0.9999998807907104
52,0.9999999403953552
53,1.0
54,1.0
55,1.0
56,0.9999998807907104
57,1.0
58,0.9999999403953552
59,1.0
60,0.9999999403953552
61,0.9999999403953552
62,1.0
63,0.9999999403953552
64,1.0
65,1.0
66,0.9999998807907104
67,0.9999999403953552
68,1.0
69,1.0
70,1.0
71,1.0000001192092896
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,0.9999999403953552
79,1.0
80,1.0
81,0.9999998807907104
82,1.0
83,1.0000001192092896
84,1.0
85,0.9999998807907104
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.000000238418579
95,1.0
96,0.9999999403953552
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0000001192092896
104,0.9999998807907104
105,1.0
106,0.9999999403953552
107,1.0
108,0.9999998807907104
109,1.0
110,1.0
111,1.0
112,0.9999999403953552
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0000001192092896
122,1.0
123,1.0000001192092896
124,1.0
125,1.0
126,1.0
127,0.9999998807907104
128,1.0
129,1.0000001192092896
130,0.9999999403953552
131,1.0
132,1.0000001192092896
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0000001192092896
138,0.9999999403953552
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,1.0
146,1.0
147,1.0
148,1.0
149,0.9999998807907104
150,1.0
151,1.0
152,1.0000001192092896
153,0.9999999403953552
154,1.0
